URL	Motif_ID
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42991_0.6	M136_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43019_0.6	M134_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42999_0.6	M230_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42992_0.6	M114_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T42993_0.6	M076_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T43000_0.6	M078_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T60672_0.6	M231_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37595_0.6	M242_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37624_0.6	M244_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37716_0.6	M234_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02652_0.6	M037_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02652_0.6	M320_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02643_0.6	M083_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M263_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M264_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M265_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M266_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M267_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M268_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M269_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T02638_0.6	M350_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T06788_0.6	M035_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T06788_0.6	M153_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T07243_0.6	M071_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T07243_0.6	M331_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T07243_0.6	M353_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T07244_0.6	M085_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T16855_0.6	M081_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T16855_0.6	M111_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T16852_0.6	M082_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18799_0.6	M002_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18787_0.6	M016_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18787_0.6	M304_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18787_0.6	M305_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18793_0.6	M152_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18798_0.6	M020_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18806_0.6	M026_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18797_0.6	M160_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18791_0.6	M176_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18800_0.6	M033_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18785_0.6	M339_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18785_0.6	M340_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18785_0.6	M341_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18785_0.6	M342_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18804_0.6	M322_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18804_0.6	M324_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18788_0.6	M323_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18788_0.6	M325_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18807_0.6	M177_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18814_0.6	M043_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18792_0.6	M046_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18792_0.6	M262_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T18792_0.6	M281_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22211_0.6	M293_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22211_0.6	M296_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22209_0.6	M032_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22209_0.6	M294_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22210_0.6	M163_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T22210_0.6	M295_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T24199_0.6	M255_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T24199_0.6	M283_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T24198_0.6	M249_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T24198_0.6	M280_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T24198_0.6	M284_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T26469_0.6	M259_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T25561_0.6	M316_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T25560_0.6	M053_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T25560_0.6	M145_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37276_0.6	M001_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37178_0.6	M159_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37178_0.6	M298_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37201_0.6	M004_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37298_0.6	M157_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37269_0.6	M178_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37180_0.6	M147_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37262_0.6	M012_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37222_0.6	M149_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37172_0.6	M013_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37167_0.6	M290_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37167_0.6	M291_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37167_0.6	M292_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M031_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M108_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M112_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M127_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M232_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37170_0.6	M327_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37215_0.6	M328_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37215_0.6	M329_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37215_0.6	M330_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37301_0.6	M313_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37301_0.6	M314_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37301_0.6	M315_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37235_0.6	M140_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37205_0.6	M141_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37341_0.6	M019_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37341_0.6	M086_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37341_0.6	M087_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37341_0.6	M088_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37273_0.6	M302_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37266_0.6	M021_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37258_0.6	M022_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37258_0.6	M271_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37258_0.6	M312_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37267_0.6	M023_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37238_0.6	M024_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37346_0.6	M301_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37187_0.6	M025_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37324_0.6	M158_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37246_0.6	M151_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37210_0.6	M027_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37210_0.6	M089_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37271_0.6	M169_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37165_0.6	M036_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37256_0.6	M040_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37256_0.6	M167_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37224_0.6	M245_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37274_0.6	M307_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37274_0.6	M309_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37171_0.6	M146_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37171_0.6	M275_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37171_0.6	M349_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37281_0.6	M144_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37185_0.6	M042_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37319_0.6	M162_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37199_0.6	M148_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37277_0.6	M044_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37164_0.6	M227_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37164_0.6	M228_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37164_0.6	M303_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37244_0.6	M150_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37221_0.6	M175_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37213_0.6	M047_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37204_0.6	M048_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37369_0.6	M050_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37369_0.6	M109_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37184_0.6	M051_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37245_0.6	M142_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37283_0.6	M052_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37162_0.6	M161_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37251_0.6	M054_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37287_0.6	M143_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37272_0.6	M055_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37272_0.6	M164_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37275_0.6	M344_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37368_0.6	M246_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37368_0.6	M247_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37174_0.6	M062_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37228_0.6	M168_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37228_0.6	M308_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37211_0.6	M068_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M069_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M317_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M318_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M319_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M345_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M346_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M347_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37177_0.6	M348_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M102_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M103_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M104_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M105_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M106_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M154_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M270_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M272_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M273_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37259_0.6	M351_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37299_0.6	M070_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37299_0.6	M274_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37299_0.6	M332_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37299_0.6	M352_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37198_0.6	M355_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37198_0.6	M356_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37198_0.6	M357_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37219_0.6	M065_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37219_0.6	M072_0.6
http://cisbp-rna.ccbr.utoronto.ca/TFreport.php?searchTF=T37219_0.6	M333_0.6
